верхом, 48, 0,01646%
едва, 48, 0,01646%
могут, 48, 0,01646%
пока, 48, 0,01646%
получил, 48, 0,01646%
сражение, 48, 0,01646%
страх, 48, 0,01646%
строго, 48, 0,01646%
Бонапарт, 47, 0,01611%
Сперанский, 47, 0,01611%
ведь, 47, 0,01611%
вечером, 47, 0,01611%
должны, 47, 0,01611%
дочери, 47, 0,01611%
души, 47, 0,01611%
иногда, 47, 0,01611%
любовь, 47, 0,01611%
мной, 47, 0,01611%
одном, 47, 0,01611%
полка, 47, 0,01611%
правда, 47, 0,01611%
середине, 47, 0,01611%
утра, 47, 0,01611%
Графиня, 46, 0,01577%
Марье, 46, 0,01577%
Несмотря, 46, 0,01577%
Отчего, 46, 0,01577%
Очень, 46, 0,01577%
война, 46, 0,01577%
генерала, 46, 0,01577%
кабинет, 46, 0,01577%
князем, 46, 0,01577%
мире, 46, 0,01577%
никому, 46, 0,01577%
оглядываясь, 46, 0,01577%
отцу, 46, 0,01577%
самом, 46, 0,01577%
самых, 46, 0,01577%
сидели, 46, 0,01577%
слегка, 46, 0,01577%
увидав, 46, 0,01577%
ума, 46, 0,01577%
хочу, 46, 0,01577%
хуже, 46, 0,01577%
человеком, 46, 0,01577%
Безухова, 45, 0,01543%
господа, 45, 0,01543%
жены, 45, 0,01543%
менее, 45, 0,01543%
напротив, 45, 0,01543%
отчего, 45, 0,01543%
офицеры, 45, 0,01543%
писал, 45, 0,01543%
самому, 45, 0,01543%
столько, 45, 0,01543%
Александра, 44, 0,01509%
Наташей, 44, 0,01509%
Тихон, 44, 0,01509%
будут, 44, 0,01509%
году, 44, 0,01509%
отвернулся, 44, 0,01509%
право, 44, 0,01509%
солдата, 44, 0,01509%
страшно, 44, 0,01509%
хотела, 44, 0,01509%
Александр, 43, 0,01474%
Павловны, 43, 0,01474%
видела, 43, 0,01474%
известие, 43, 0,01474%
испуганно, 43, 0,01474%
минут, 43, 0,01474%
неприятно, 43, 0,01474%
постоянно, 43, 0,01474%
пришел, 43, 0,01474%
собою, 43, 0,01474%
состоянии, 43, 0,01474%
стола, 43, 0,01474%
тобой, 43, 0,01474%
уехал, 43, 0,01474%
улыбнулась, 43, 0,01474%
чему, 43, 0,01474%
шепотом, 43, 0,01474%
Ей, 42, 0,0144%
Николаю, 42, 0,0144%
Ничего, 42, 0,0144%
войне, 42, 0,0144%
дал, 42, 0,0144%
доктор, 42, 0,0144%
изредка, 42, 0,0144%
имеет, 42, 0,0144%
кому, 42, 0,0144%
любила, 42, 0,0144%
моего, 42, 0,0144%
навстречу, 42, 0,0144%
нашего, 42, 0,0144%
невозможно, 42, 0,0144%
нечего, 42, 0,0144%
ногами, 42, 0,0144%
перебил, 42, 0,0144%
подъехал, 42, 0,0144%
поцеловал, 42, 0,0144%
смотрела, 42, 0,0144%
стараясь, 42, 0,0144%
успел, 42, 0,0144%
ходил, 42, 0,0144%
человеку, 42, 0,0144%
Андреевич, 41, 0,01406%
Багратиона, 41, 0,01406%
Илья, 41, 0,01406%
армия, 41, 0,01406%
беспрестанно, 41, 0,01406%
вами, 41, 0,01406%
всякий, 41, 0,01406%
главнокомандующего, 41, 0,01406%
графини, 41, 0,01406%
дороги, 41, 0,01406%
дорогу, 41, 0,01406%
дурно, 41, 0,01406%
женщина, 41, 0,01406%
заметив, 41, 0,01406%
любит, 41, 0,01406%
повторил, 41, 0,01406%
пошла, 41, 0,01406%
разговора, 41, 0,01406%
сами, 41, 0,01406%
стояла, 41, 0,01406%
странно, 41, 0,01406%
счастья, 41, 0,01406%
часу, 41, 0,01406%
чуть, 41, 0,01406%
Буонапарте, 40, 0,01371%
Ведь, 40, 0,01371%
Вера, 40, 0,01371%
Во, 40, 0,01371%
К, 40, 0,01371%
адъютанта, 40, 0,01371%
вошла, 40, 0,01371%
впечатление, 40, 0,01371%
грустно, 40, 0,01371%
жил, 40, 0,01371%
иначе, 40, 0,01371%
легко, 40, 0,01371%
ногу, 40, 0,01371%
орудия, 40, 0,01371%
поздно, 40, 0,01371%
поле, 40, 0,01371%
прелесть, 40, 0,01371%
рассказывал, 40, 0,01371%
слез, 40, 0,01371%
тон, 40, 0,01371%
четыре, 40, 0,01371%
Билибин, 39, 0,01337%
Где, 39, 0,01337%
Кутузову, 39, 0,01337%
Лицо, 39, 0,01337%
Надо, 39, 0,01337%
виконт, 39, 0,01337%
выше, 39, 0,01337%
духа, 39, 0,01337%
жить, 39, 0,01337%
идет, 39, 0,01337%
княжну, 39, 0,01337%
лежал, 39, 0,01337%
лицу, 39, 0,01337%
людям, 39, 0,01337%
моей, 39, 0,01337%
послышался, 39, 0,01337%
просить, 39, 0,01337%
радости, 39, 0,01337%
такая, 39, 0,01337%
твердо, 39, 0,01337%
услыхал, 39, 0,01337%
часть, 39, 0,01337%
числе, 39, 0,01337%
Кроме, 38, 0,01303%
Несколько, 38, 0,01303%
Солдаты, 38, 0,01303%
другу, 38, 0,01303%
ею, 38, 0,01303%
лиц, 38, 0,01303%
мгновение, 38, 0,01303%
мои, 38, 0,01303%
обыкновенно, 38, 0,01303%
понимал, 38, 0,01303%
раненых, 38, 0,01303%
руках, 38, 0,01303%
свет, 38, 0,01303%
скорее, 38, 0,01303%
стол, 38, 0,01303%
Тут, 37, 0,01269%
Тушин, 37, 0,01269%
взгляда, 37, 0,01269%
внимания, 37, 0,01269%
генералу, 37, 0,01269%
гостей, 37, 0,01269%
гусар, 37, 0,01269%
движение, 37, 0,01269%
домой, 37, 0,01269%
меньше, 37, 0,01269%
найти, 37, 0,01269%
особенности, 37, 0,01269%
показалось, 37, 0,01269%
полку, 37, 0,01269%
продолжала, 37, 0,01269%
столу, 37, 0,01269%
считал, 37, 0,01269%
такого, 37, 0,01269%
удовольствие, 37, 0,01269%
Балашов, 36, 0,01234%
Марью, 36, 0,01234%
головы, 36, 0,01234%
делали, 36, 0,01234%
если, 36, 0,01234%
заговорил, 36, 0,01234%
императору, 36, 0,01234%
испытывал, 36, 0,01234%
какие, 36, 0,01234%
командира, 36, 0,01234%
конце, 36, 0,01234%
маленькая, 36, 0,01234%
мыслей, 36, 0,01234%
отвечая, 36, 0,01234%
полковник, 36, 0,01234%
приказания, 36, 0,01234%
прошу, 36, 0,01234%
речи, 36, 0,01234%
сердце, 36, 0,01234%
случилось, 36, 0,01234%
старался, 36, 0,01234%
страха, 36, 0,01234%
тоном, 36, 0,01234%
утром, 36, 0,01234%
ходить, 36, 0,01234%
честь, 36, 0,01234%
Петербург, 35, 0,012%
Разве, 35, 0,012%
боялся, 35, 0,012%
вернулся, 35, 0,012%
власть, 35, 0,012%
вместо, 35, 0,012%
дядюшка, 35, 0,012%
женой, 35, 0,012%
значение, 35, 0,012%
кровь, 35, 0,012%
мира, 35, 0,012%
обратилась, 35, 0,012%
первых, 35, 0,012%
сильнее, 35, 0,012%
таких, 35, 0,012%
узнать, 35, 0,012%
улыбка, 35, 0,012%
шагами, 35, 0,012%
шла, 35, 0,012%
внимание, 34, 0,01166%
вопросительно, 34, 0,01166%
год, 34, 0,01166%
горе, 34, 0,01166%
графу, 34, 0,01166%
движения, 34, 0,01166%
другую, 34, 0,01166%
ездил, 34, 0,01166%
женщин, 34, 0,01166%
крик, 34, 0,01166%
новые, 34, 0,01166%
одним, 34, 0,01166%
отвечала, 34, 0,01166%
почтительно, 34, 0,01166%
раза, 34, 0,01166%
рассказал, 34, 0,01166%
решительно, 34, 0,01166%
руке, 34, 0,01166%
самые, 34, 0,01166%
села, 34, 0,01166%
слушая, 34, 0,01166%
сначала, 34, 0,01166%
стороне, 34, 0,01166%
трудно, 34, 0,01166%
улыбался, 34, 0,01166%
ушел, 34, 0,01166%
хотите, 34, 0,01166%
чувствуя, 34, 0,01166%
Богу, 33, 0,01131%
Борису, 33, 0,01131%
брата, 33, 0,01131%
видели, 33, 0,01131%
вниз, 33, 0,01131%
вообще, 33, 0,01131%
вспомнил, 33, 0,01131%
готов, 33, 0,01131%
держал, 33, 0,01131%
маленькой, 33, 0,01131%
некоторые, 33, 0,01131%
обедать, 33, 0,01131%
обедом, 33, 0,01131%
одному, 33, 0,01131%
полковой, 33, 0,01131%
послышались, 33, 0,01131%
принять, 33, 0,01131%
свидания, 33, 0,01131%
сделали, 33, 0,01131%
сказали, 33, 0,01131%
третий, 33, 0,01131%
читать, 33, 0,01131%
Ваше, 32, 0,01097%
Жерков, 32, 0,01097%
Однако, 32, 0,01097%
Ростовым, 32, 0,01097%
батюшка, 32, 0,01097%
виноват, 32, 0,01097%
говорите, 32, 0,01097%
движением, 32, 0,01097%
звук, 32, 0,01097%
любить, 32, 0,01097%
мнение, 32, 0,01097%
молчал, 32, 0,01097%
новое, 32, 0,01097%
отношении, 32, 0,01097%
отцом, 32, 0,01097%
очки, 32, 0,01097%
показать, 32, 0,01097%
поскакал, 32, 0,01097%
приезда, 32, 0,01097%
пришла, 32, 0,01097%
приятно, 32, 0,01097%
скажет, 32, 0,01097%
службы, 32, 0,01097%
толпы, 32, 0,01097%
цель, 32, 0,01097%
читал, 32, 0,01097%
Два, 31, 0,01063%
Княгиня, 31, 0,01063%
Пьером, 31, 0,01063%
военного, 31, 0,01063%
всему, 31, 0,01063%
вчера, 31, 0,01063%
город, 31, 0,01063%
казался, 31, 0,01063%
мир, 31, 0,01063%
мое, 31, 0,01063%
общества, 31, 0,01063%
остался, 31, 0,01063%
остановилась, 31, 0,01063%
плечами, 31, 0,01063%
презрительно, 31, 0,01063%
рядом, 31, 0,01063%
сделала, 31, 0,01063%
серьезно, 31, 0,01063%
слезами, 31, 0,01063%
хороша, 31, 0,01063%
часа, 31, 0,01063%
Андреем, 30, 0,01029%
Бенигсен, 30, 0,01029%
Видно, 30, 0,01029%
большую, 30, 0,01029%
голосов, 30, 0,01029%
